DEFAULT;ANTIUEDAD;EDAD;CUOTA_TOTAL;INGRESOS
0;21;62;163786;3021347
0;23;62;1504883;4662110
0;10;63;773605;4482654
0;32;64;2741973;7431135
0;19;63;1976697;5534075
0;34;61;1240556;9472362
0;22;61;1637779;9014984
0;34;61;1448555;6982919
0;36;62;97806;7630361
0;26;61;1818894;8233628
0;8;61;252667;3490950
0;34;61;56445;7985791
0;11;61;1272422;5290910
0;13;61;1373901;3742806
0;23;60;1451543;4098790
0;28;61;104530;6506922
0;35;60;596073;8774797
0;24;58;1454268;7358664
0;3;59;2228216;3324318
0;5;59;492476;4336153
0;13;59;2179587;5395065
0;7;57;948570;3870678
0;23;58;159853;4527136
0;11;60;499821;4514189
0;26;59;664024;6314917
0;31;56;788540;6808569
0;7;60;155606;1691184
0;28;56;1760277;5190695
0;7;58;1246224;4691823
0;9;59;1175697;4181954
0;12;58;173349;1200611
0;6;56;1003957;4254308
0;35;60;1194043;6455578
0;33;69;1250738;13214201
0;4;31;96483;2043738
0;14;54;1969986;5601369
0;2;57;435816;4011109
0;1;33;338027;2859889
0;23;60;1408718;4426940
0;13;62;580579;6609822
0;20;50;273755;6862512
0;3;42;127541;1112348
0;7;55;309621;3406170
0;20;53;2344659;5486827
0;3;32;415105;3380162
0;6;58;907560;3852018
0;4;55;440984;2500925
0;11;57;53920;2299357
0;17;55;342284;9601839
0;20;56;586710;5172085
0;19;55;533834;5038962
0;30;57;558425;7996426
0;11;58;2137289;10112947
0;24;53;432883;5094689
0;11;53;658737;3033314
0;16;53;231219;4362287
0;20;53;1426567;4857278
0;23;52;102025;8459745
0;9;52;122115;3578085
0;14;53;1233428;5038962
0;10;53;702572;3468701
0;12;52;48621;1830894
0;17;52;194442;5731705
0;4;52;76991;2165869
0;9;53;35835;3870678
0;8;51;231412;2776526
0;6;52;1039056;3726366
0;15;51;597009;3320742
0;17;51;2436047;4841267
0;10;51;545683;2680175
0;2;51;293176;1618734
0;6;51;86777;1338342
0;11;50;720339;2184810
0;15;51;2003540;5951333
0;10;50;990693;3686610
0;7;51;1257694;4966661
0;5;49;149479;701758
0;7;49;1418682;4051326
0;3;48;629949;4492485
0;9;48;48358;4893273
0;0;49;2859;4204730
0;14;48;1550908;4526338
0;3;48;568209;3155690
0;1;48;774959;4254308
0;2;48;126396;1174977
0;3;47;299081;5290910
0;10;48;1096577;3470635
0;5;47;133389;1235943
0;8;47;102263;3717770
0;9;46;1236189;4755307
0;2;46;91921;4326152
0;14;46;1175385;4584032
0;5;45;1235400;4441983
0;18;45;598907;5290910
0;2;45;193166;1488624
0;17;62;1031676;6056204
0;28;57;397193;4980814
0;22;60;1386412;6443991
0;3;43;202360;3077095
0;24;56;550285;6091650
0;18;46;1267505;6126906
0;32;63;610602;11619965
0;21;61;1241089;4369190
0;4;61;468413;7743872
